16384
0	172.6598137	0
1	172.6705549	-1.065814104e-14
2	172.6812904	-1.953992523e-14
3	172.6920203	-4.618527782e-14
4	172.7027444	-3.907985047e-14
5	172.7134629	-3.197442311e-14
6	172.7241756	-9.237055565e-14
7	172.7348826	-8.526512829e-14
8	172.745584	-7.993605777e-14
9	172.7562796	-7.105427358e-14
10	172.7669695	-6.572520306e-14
11	172.7776537	-5.684341886e-14
12	172.7883322	-1.88293825e-13
13	172.7990049	-4.085620731e-14
14	172.809672	-1.723066134e-13
15	172.8203333	-3.037570195e-13
16	172.8309889	-1.563194019e-13
17	172.8416388	-1.243449788e-14
18	172.852283	-1.43884904e-13
19	172.8629215	-2.753353101e-13
20	172.8735542	-1.296740493e-13
21	172.8841812	1.776356839e-14
22	172.8948024	-1.136868377e-13
23	172.905418	-2.451372438e-13
24	172.9160278	-3.7658765e-13
25	172.9266318	4.618527782e-14
26	172.9372302	-8.348877145e-14
27	172.9478228	-2.149391776e-13
28	172.9584096	-3.446132268e-13
29	172.9689907	7.815970093e-14
30	172.9795661	-6.075140391e-13
31	172.9901357	-1.865174681e-13
32	173.0006996	-3.161915174e-13
33	173.0112578	1.065814104e-13
34	173.0218102	-2.486899575e-14
35	173.0323568	-1.563194019e-13
36	173.0428977	-2.859934511e-13
37	173.0534328	1.350031198e-13
38	173.0639622	-5.506706202e-13
39	173.0744859	-1.278976924e-13
40	173.0850037	-2.575717417e-13
41	173.0955158	-9.450218386e-13
42	173.1060222	3.552713679e-14
43	173.1165228	-9.769962617e-14
44	173.1270176	-2.273736754e-13
45	173.1375067	-3.606004384e-13
46	173.14799	-4.920508445e-13
47	173.1584675	4.902744877e-13
48	173.1689393	-7.585043704e-13
49	173.1794053	-8.899547765e-13
50	173.1898655	9.414691249e-14
51	173.2003199	-3.730349363e-14
52	173.2107686	-1.705302566e-13
53	173.2212115	-3.002043059e-13
54	173.2316486	-4.352074257e-13
55	173.24208	5.506706202e-13
56	173.2525055	-6.96331881e-13
57	173.2629253	-8.29558644e-13
58	173.2733393	1.527666882e-13
59	173.2837475	2.131628207e-14
60	173.2941499	-1.227462576e-12
61	173.3045465	-2.415845302e-13
62	173.3149373	-3.7658765e-13
63	173.3253224	6.110667528e-13
64	173.3357016	-6.394884622e-13
